ts,banco,tabela,linhas_estimadas
2026-09-19T15:21:25+00:00,triagedb,triages,3
2026-09-19T15:22:47+00:00,patientdb,patients,66272
2026-09-19T15:22:47+00:00,examdb,exam_requests,6
2026-09-19T15:22:47+00:00,resultdb,exam_results,10
2026-09-19T15:22:47+00:00,authdb,auth_clients,6
2026-09-19T15:22:47+00:00,consentdb,consents,9
2026-09-19T15:22:47+00:00,auditdb,audit_anomaly,7
2026-09-19T15:22:47+00:00,auditdb,audit_log,180179
2026-09-19T15:22:47+00:00,notificationdb,notifications,11
2026-09-19T15:22:47+00:00,triagedb,triages,3
2026-09-19T15:24:07+00:00,patientdb,patients,71803
2026-09-19T15:24:07+00:00,examdb,exam_requests,6
2026-09-19T15:24:07+00:00,resultdb,exam_results,10
2026-09-19T15:24:07+00:00,authdb,auth_clients,6
2026-09-19T15:24:07+00:00,consentdb,consents,9
2026-09-19T15:24:07+00:00,auditdb,audit_anomaly,7
2026-09-19T15:24:07+00:00,auditdb,audit_log,187818
2026-09-19T15:24:07+00:00,notificationdb,notifications,11
2026-09-19T15:24:07+00:00,triagedb,triages,3
2026-09-19T15:25:26+00:00,patientdb,patients,74811
2026-09-19T15:25:26+00:00,examdb,exam_requests,6
2026-09-19T15:25:26+00:00,resultdb,exam_results,10
2026-09-19T15:25:26+00:00,authdb,auth_clients,6
2026-09-19T15:25:26+00:00,consentdb,consents,9
2026-09-19T15:25:26+00:00,auditdb,audit_anomaly,7
2026-09-19T15:25:26+00:00,auditdb,audit_log,195467
2026-09-19T15:25:26+00:00,notificationdb,notifications,11
2026-09-19T15:25:26+00:00,triagedb,triages,3
2026-09-19T15:26:46+00:00,patientdb,patients,77786
2026-09-19T15:26:46+00:00,examdb,exam_requests,6
2026-09-19T15:26:46+00:00,resultdb,exam_results,10
2026-09-19T15:26:46+00:00,authdb,auth_clients,6
2026-09-19T15:26:46+00:00,consentdb,consents,9
2026-09-19T15:26:46+00:00,auditdb,audit_anomaly,7
2026-09-19T15:26:46+00:00,auditdb,audit_log,202669
2026-09-19T15:26:46+00:00,notificationdb,notifications,11
2026-09-19T15:26:46+00:00,triagedb,triages,3
2026-09-19T15:28:06+00:00,patientdb,patients,79097
2026-09-19T15:28:06+00:00,examdb,exam_requests,6
2026-09-19T15:28:06+00:00,resultdb,exam_results,10
2026-09-19T15:28:06+00:00,authdb,auth_clients,6
2026-09-19T15:28:06+00:00,consentdb,consents,9
2026-09-19T15:28:06+00:00,auditdb,audit_anomaly,7
2026-09-19T15:28:06+00:00,auditdb,audit_log,205982
2026-09-19T15:28:06+00:00,notificationdb,notifications,11
2026-09-19T15:28:06+00:00,triagedb,triages,3
2026-09-19T15:29:25+00:00,patientdb,patients,79136
2026-09-19T15:29:25+00:00,examdb,exam_requests,6
2026-09-19T15:29:25+00:00,resultdb,exam_results,10
2026-09-19T15:29:25+00:00,authdb,auth_clients,6
2026-09-19T15:29:25+00:00,consentdb,consents,10
2026-09-19T15:29:25+00:00,auditdb,audit_anomaly,8
2026-09-19T15:29:25+00:00,auditdb,audit_log,206110
2026-09-19T15:29:25+00:00,notificationdb,notifications,11
2026-09-19T15:29:25+00:00,triagedb,triages,3
2026-09-19T15:30:42+00:00,patientdb,patients,82453
2026-09-19T15:30:42+00:00,examdb,exam_requests,6
2026-09-19T15:30:42+00:00,resultdb,exam_results,10
2026-09-19T15:30:42+00:00,authdb,auth_clients,6
2026-09-19T15:30:42+00:00,consentdb,consents,10
2026-09-19T15:30:42+00:00,auditdb,audit_anomaly,8
2026-09-19T15:30:42+00:00,auditdb,audit_log,214661
2026-09-19T15:30:42+00:00,notificationdb,notifications,11
2026-09-19T15:30:42+00:00,triagedb,triages,3
2026-09-19T15:32:04+00:00,patientdb,patients,90764
2026-09-19T15:32:04+00:00,examdb,exam_requests,6
2026-09-19T15:32:04+00:00,resultdb,exam_results,10
2026-09-19T15:32:04+00:00,authdb,auth_clients,6
2026-09-19T15:32:04+00:00,consentdb,consents,10
2026-09-19T15:32:04+00:00,auditdb,audit_anomaly,8
2026-09-19T15:32:04+00:00,auditdb,audit_log,224841
2026-09-19T15:32:04+00:00,notificationdb,notifications,11
2026-09-19T15:32:04+00:00,triagedb,triages,3
2026-09-19T15:33:34+00:00,patientdb,patients,99708
2026-09-19T15:33:34+00:00,examdb,exam_requests,6
2026-09-19T15:33:34+00:00,resultdb,exam_results,10
2026-09-19T15:33:34+00:00,authdb,auth_clients,6
2026-09-19T15:33:34+00:00,consentdb,consents,10
2026-09-19T15:33:34+00:00,auditdb,audit_anomaly,8
2026-09-19T15:33:34+00:00,auditdb,audit_log,231881
2026-09-19T15:33:34+00:00,notificationdb,notifications,11
2026-09-19T15:33:34+00:00,triagedb,triages,3
2026-09-19T15:35:01+00:00,patientdb,patients,108817
2026-09-19T15:35:01+00:00,examdb,exam_requests,6
2026-09-19T15:35:01+00:00,resultdb,exam_results,10
2026-09-19T15:35:01+00:00,authdb,auth_clients,6
2026-09-19T15:35:01+00:00,consentdb,consents,10
2026-09-19T15:35:01+00:00,auditdb,audit_anomaly,8
2026-09-19T15:35:01+00:00,auditdb,audit_log,239686
2026-09-19T15:35:01+00:00,notificationdb,notifications,11
2026-09-19T15:35:01+00:00,triagedb,triages,3
2026-09-19T15:36:24+00:00,patientdb,patients,117684
2026-09-19T15:36:24+00:00,examdb,exam_requests,6
2026-09-19T15:36:24+00:00,resultdb,exam_results,10
2026-09-19T15:36:24+00:00,authdb,auth_clients,6
2026-09-19T15:36:24+00:00,consentdb,consents,10
2026-09-19T15:36:24+00:00,auditdb,audit_anomaly,8
2026-09-19T15:36:24+00:00,auditdb,audit_log,246822
2026-09-19T15:36:24+00:00,notificationdb,notifications,11
2026-09-19T15:36:24+00:00,triagedb,triages,3
2026-09-19T15:37:46+00:00,patientdb,patients,122824
2026-09-19T15:37:46+00:00,examdb,exam_requests,6
2026-09-19T15:37:46+00:00,resultdb,exam_results,10
2026-09-19T15:37:46+00:00,authdb,auth_clients,6
2026-09-19T15:37:46+00:00,consentdb,consents,10
2026-09-19T15:37:46+00:00,auditdb,audit_anomaly,8
2026-09-19T15:37:46+00:00,auditdb,audit_log,254553
2026-09-19T15:37:46+00:00,notificationdb,notifications,11
2026-09-19T15:37:46+00:00,triagedb,triages,3
2026-09-19T15:39:05+00:00,patientdb,patients,123224
2026-09-19T15:39:05+00:00,examdb,exam_requests,6
2026-09-19T15:39:05+00:00,resultdb,exam_results,10
2026-09-19T15:39:05+00:00,authdb,auth_clients,6
2026-09-19T15:39:05+00:00,consentdb,consents,10
2026-09-19T15:39:05+00:00,auditdb,audit_anomaly,8
2026-09-19T15:39:05+00:00,auditdb,audit_log,262620
2026-09-19T15:39:05+00:00,notificationdb,notifications,11
2026-09-19T15:39:05+00:00,triagedb,triages,3
2026-09-19T15:40:23+00:00,patientdb,patients,123224
2026-09-19T15:40:23+00:00,examdb,exam_requests,6
2026-09-19T15:40:23+00:00,resultdb,exam_results,10
2026-09-19T15:40:23+00:00,authdb,auth_clients,6
2026-09-19T15:40:23+00:00,consentdb,consents,10
2026-09-19T15:40:23+00:00,auditdb,audit_anomaly,9
2026-09-19T15:40:23+00:00,auditdb,audit_log,270443
2026-09-19T15:40:23+00:00,notificationdb,notifications,11
2026-09-19T15:40:23+00:00,triagedb,triages,3
2026-09-19T15:41:41+00:00,patientdb,patients,123470
2026-09-19T15:41:41+00:00,examdb,exam_requests,6
2026-09-19T15:41:41+00:00,resultdb,exam_results,10
2026-09-19T15:41:41+00:00,authdb,auth_clients,6
2026-09-19T15:41:41+00:00,consentdb,consents,11
2026-09-19T15:41:41+00:00,auditdb,audit_anomaly,9
2026-09-19T15:41:41+00:00,auditdb,audit_log,278722
2026-09-19T15:41:41+00:00,notificationdb,notifications,11
2026-09-19T15:41:41+00:00,triagedb,triages,3
2026-09-19T15:43:02+00:00,patientdb,patients,128328
2026-09-19T15:43:02+00:00,examdb,exam_requests,6
2026-09-19T15:43:02+00:00,resultdb,exam_results,10
2026-09-19T15:43:02+00:00,authdb,auth_clients,6
2026-09-19T15:43:02+00:00,consentdb,consents,11
2026-09-19T15:43:02+00:00,auditdb,audit_anomaly,9
2026-09-19T15:43:02+00:00,auditdb,audit_log,286533
2026-09-19T15:43:02+00:00,notificationdb,notifications,11
2026-09-19T15:43:02+00:00,triagedb,triages,3
2026-09-19T15:44:29+00:00,patientdb,patients,137370
2026-09-19T15:44:29+00:00,examdb,exam_requests,6
2026-09-19T15:44:29+00:00,resultdb,exam_results,10
2026-09-19T15:44:29+00:00,authdb,auth_clients,6
2026-09-19T15:44:29+00:00,consentdb,consents,11
2026-09-19T15:44:29+00:00,auditdb,audit_anomaly,9
2026-09-19T15:44:29+00:00,auditdb,audit_log,294089
2026-09-19T15:44:29+00:00,notificationdb,notifications,11
2026-09-19T15:44:29+00:00,triagedb,triages,3
2026-09-19T15:45:56+00:00,patientdb,patients,144253
2026-09-19T15:45:56+00:00,examdb,exam_requests,6
2026-09-19T15:45:56+00:00,resultdb,exam_results,10
2026-09-19T15:45:56+00:00,authdb,auth_clients,6
2026-09-19T15:45:56+00:00,consentdb,consents,11
2026-09-19T15:45:56+00:00,auditdb,audit_anomaly,9
2026-09-19T15:45:56+00:00,auditdb,audit_log,303929
2026-09-19T15:45:56+00:00,notificationdb,notifications,11
2026-09-19T15:45:56+00:00,triagedb,triages,3
2026-09-19T15:47:18+00:00,patientdb,patients,152933
2026-09-19T15:47:18+00:00,examdb,exam_requests,6
2026-09-19T15:47:18+00:00,resultdb,exam_results,10
2026-09-19T15:47:18+00:00,authdb,auth_clients,6
2026-09-19T15:47:18+00:00,consentdb,consents,11
2026-09-19T15:47:18+00:00,auditdb,audit_anomaly,9
2026-09-19T15:47:18+00:00,auditdb,audit_log,318485
2026-09-19T15:47:18+00:00,notificationdb,notifications,11
2026-09-19T15:47:18+00:00,triagedb,triages,3
2026-09-19T15:48:40+00:00,patientdb,patients,163479
2026-09-19T15:48:40+00:00,examdb,exam_requests,6
2026-09-19T15:48:40+00:00,resultdb,exam_results,10
2026-09-19T15:48:40+00:00,authdb,auth_clients,6
2026-09-19T15:48:40+00:00,consentdb,consents,11
2026-09-19T15:48:40+00:00,auditdb,audit_anomaly,10
2026-09-19T15:48:40+00:00,auditdb,audit_log,332213
2026-09-19T15:48:40+00:00,notificationdb,notifications,11
2026-09-19T15:48:40+00:00,triagedb,triages,3
2026-09-19T15:50:02+00:00,patientdb,patients,167557
2026-09-19T15:50:02+00:00,examdb,exam_requests,6
2026-09-19T15:50:02+00:00,resultdb,exam_results,10
2026-09-19T15:50:02+00:00,authdb,auth_clients,6
2026-09-19T15:50:02+00:00,consentdb,consents,11
2026-09-19T15:50:02+00:00,auditdb,audit_anomaly,10
2026-09-19T15:50:02+00:00,auditdb,audit_log,345417
2026-09-19T15:50:02+00:00,notificationdb,notifications,11
2026-09-19T15:50:02+00:00,triagedb,triages,3
2026-09-19T15:51:22+00:00,patientdb,patients,167670
2026-09-19T15:51:22+00:00,examdb,exam_requests,6
2026-09-19T15:51:22+00:00,resultdb,exam_results,10
2026-09-19T15:51:22+00:00,authdb,auth_clients,6
2026-09-19T15:51:22+00:00,consentdb,consents,11
2026-09-19T15:51:22+00:00,auditdb,audit_anomaly,10
2026-09-19T15:51:22+00:00,auditdb,audit_log,358094
2026-09-19T15:51:22+00:00,notificationdb,notifications,11
2026-09-19T15:51:22+00:00,triagedb,triages,3
2026-09-19T15:52:39+00:00,patientdb,patients,167670
2026-09-19T15:52:39+00:00,examdb,exam_requests,6
2026-09-19T15:52:39+00:00,resultdb,exam_results,10
2026-09-19T15:52:39+00:00,authdb,auth_clients,6
2026-09-19T15:52:39+00:00,consentdb,consents,11
2026-09-19T15:52:39+00:00,auditdb,audit_anomaly,10
2026-09-19T15:52:39+00:00,auditdb,audit_log,368429
2026-09-19T15:52:39+00:00,notificationdb,notifications,11
2026-09-19T15:52:39+00:00,triagedb,triages,3
2026-09-19T15:53:56+00:00,patientdb,patients,168345
2026-09-19T15:53:56+00:00,examdb,exam_requests,6
2026-09-19T15:53:56+00:00,resultdb,exam_results,10
2026-09-19T15:53:56+00:00,authdb,auth_clients,6
2026-09-19T15:53:56+00:00,consentdb,consents,12
2026-09-19T15:53:56+00:00,auditdb,audit_anomaly,11
2026-09-19T15:53:56+00:00,auditdb,audit_log,380066
2026-09-19T15:53:56+00:00,notificationdb,notifications,11
2026-09-19T15:53:56+00:00,triagedb,triages,3
2026-09-19T15:55:19+00:00,patientdb,patients,174410
2026-09-19T15:55:19+00:00,examdb,exam_requests,6
2026-09-19T15:55:19+00:00,resultdb,exam_results,10
2026-09-19T15:55:19+00:00,authdb,auth_clients,6
2026-09-19T15:55:19+00:00,consentdb,consents,12
2026-09-19T15:55:19+00:00,auditdb,audit_anomaly,11
2026-09-19T15:55:19+00:00,auditdb,audit_log,400725
2026-09-19T15:55:19+00:00,notificationdb,notifications,11
2026-09-19T15:55:19+00:00,triagedb,triages,3
2026-09-19T15:56:50+00:00,patientdb,patients,180866
2026-09-19T15:56:50+00:00,examdb,exam_requests,6
2026-09-19T15:56:50+00:00,resultdb,exam_results,10
2026-09-19T15:56:50+00:00,authdb,auth_clients,6
2026-09-19T15:56:50+00:00,consentdb,consents,12
2026-09-19T15:56:50+00:00,auditdb,audit_anomaly,11
2026-09-19T15:56:50+00:00,auditdb,audit_log,416427
2026-09-19T15:56:50+00:00,notificationdb,notifications,11
2026-09-19T15:56:50+00:00,triagedb,triages,3
2026-09-19T15:58:18+00:00,patientdb,patients,189833
2026-09-19T15:58:18+00:00,examdb,exam_requests,6
2026-09-19T15:58:18+00:00,resultdb,exam_results,10
2026-09-19T15:58:18+00:00,authdb,auth_clients,6
2026-09-19T15:58:18+00:00,consentdb,consents,12
2026-09-19T15:58:18+00:00,auditdb,audit_anomaly,11
2026-09-19T15:58:18+00:00,auditdb,audit_log,435566
2026-09-19T15:58:18+00:00,notificationdb,notifications,11
2026-09-19T15:58:18+00:00,triagedb,triages,3
2026-09-19T15:59:44+00:00,patientdb,patients,201222
2026-09-19T15:59:44+00:00,examdb,exam_requests,6
2026-09-19T15:59:44+00:00,resultdb,exam_results,10
2026-09-19T15:59:44+00:00,authdb,auth_clients,6
2026-09-19T15:59:44+00:00,consentdb,consents,12
2026-09-19T15:59:44+00:00,auditdb,audit_anomaly,11
2026-09-19T15:59:44+00:00,auditdb,audit_log,457651
2026-09-19T15:59:44+00:00,notificationdb,notifications,11
2026-09-19T15:59:44+00:00,triagedb,triages,3
2026-09-19T16:01:08+00:00,patientdb,patients,208946
2026-09-19T16:01:08+00:00,examdb,exam_requests,6
2026-09-19T16:01:08+00:00,resultdb,exam_results,10
2026-09-19T16:01:08+00:00,authdb,auth_clients,6
2026-09-19T16:01:08+00:00,consentdb,consents,12
2026-09-19T16:01:08+00:00,auditdb,audit_anomaly,11
2026-09-19T16:01:08+00:00,auditdb,audit_log,480223
2026-09-19T16:01:08+00:00,notificationdb,notifications,11
2026-09-19T16:01:08+00:00,triagedb,triages,3
2026-09-19T16:02:26+00:00,patientdb,patients,211174
2026-09-19T16:02:26+00:00,examdb,exam_requests,6
2026-09-19T16:02:26+00:00,resultdb,exam_results,10
2026-09-19T16:02:26+00:00,authdb,auth_clients,6
2026-09-19T16:02:26+00:00,consentdb,consents,12
2026-09-19T16:02:26+00:00,auditdb,audit_anomaly,11
2026-09-19T16:02:26+00:00,auditdb,audit_log,488693
2026-09-19T16:02:26+00:00,notificationdb,notifications,11
2026-09-19T16:02:26+00:00,triagedb,triages,3
2026-09-19T16:03:45+00:00,patientdb,patients,211175
2026-09-19T16:03:45+00:00,examdb,exam_requests,6
2026-09-19T16:03:45+00:00,resultdb,exam_results,10
2026-09-19T16:03:45+00:00,authdb,auth_clients,6
2026-09-19T16:03:45+00:00,consentdb,consents,12
2026-09-19T16:03:45+00:00,auditdb,audit_anomaly,12
2026-09-19T16:03:45+00:00,auditdb,audit_log,496981
2026-09-19T16:03:45+00:00,notificationdb,notifications,11
2026-09-19T16:03:45+00:00,triagedb,triages,3
2026-09-19T16:05:05+00:00,patientdb,patients,211175
2026-09-19T16:05:05+00:00,examdb,exam_requests,6
2026-09-19T16:05:05+00:00,resultdb,exam_results,10
2026-09-19T16:05:05+00:00,authdb,auth_clients,6
2026-09-19T16:05:05+00:00,consentdb,consents,12
2026-09-19T16:05:05+00:00,auditdb,audit_anomaly,12
2026-09-19T16:05:05+00:00,auditdb,audit_log,505066
2026-09-19T16:05:05+00:00,notificationdb,notifications,11
2026-09-19T16:05:05+00:00,triagedb,triages,3
2026-09-19T16:06:30+00:00,patientdb,patients,223948
2026-09-19T16:06:30+00:00,examdb,exam_requests,6
2026-09-19T16:06:30+00:00,resultdb,exam_results,10
2026-09-19T16:06:30+00:00,authdb,auth_clients,6
2026-09-19T16:06:30+00:00,consentdb,consents,13
2026-09-19T16:06:30+00:00,auditdb,audit_anomaly,13
2026-09-19T16:06:30+00:00,auditdb,audit_log,516710
2026-09-19T16:06:30+00:00,notificationdb,notifications,11
2026-09-19T16:06:30+00:00,triagedb,triages,3
2026-09-19T16:08:15+00:00,patientdb,patients,249601
2026-09-19T16:08:15+00:00,examdb,exam_requests,6
2026-09-19T16:08:15+00:00,resultdb,exam_results,10
2026-09-19T16:08:15+00:00,authdb,auth_clients,6
2026-09-19T16:08:15+00:00,consentdb,consents,13
2026-09-19T16:08:15+00:00,auditdb,audit_anomaly,13
2026-09-19T16:08:15+00:00,auditdb,audit_log,523090
2026-09-19T16:08:15+00:00,notificationdb,notifications,11
2026-09-19T16:08:15+00:00,triagedb,triages,3
2026-09-19T16:10:00+00:00,patientdb,patients,277442
2026-09-19T16:10:00+00:00,examdb,exam_requests,6
2026-09-19T16:10:00+00:00,resultdb,exam_results,10
2026-09-19T16:10:00+00:00,authdb,auth_clients,6
2026-09-19T16:10:00+00:00,consentdb,consents,13
2026-09-19T16:10:00+00:00,auditdb,audit_anomaly,13
2026-09-19T16:10:00+00:00,auditdb,audit_log,530617
2026-09-19T16:10:00+00:00,notificationdb,notifications,11
2026-09-19T16:10:00+00:00,triagedb,triages,3
2026-09-19T16:11:49+00:00,patientdb,patients,306386
2026-09-19T16:11:49+00:00,examdb,exam_requests,6
2026-09-19T16:11:49+00:00,resultdb,exam_results,10
2026-09-19T16:11:49+00:00,authdb,auth_clients,6
2026-09-19T16:11:49+00:00,consentdb,consents,13
2026-09-19T16:11:49+00:00,auditdb,audit_anomaly,13
2026-09-19T16:11:49+00:00,auditdb,audit_log,538645
2026-09-19T16:11:49+00:00,notificationdb,notifications,11
2026-09-19T16:11:49+00:00,triagedb,triages,3
2026-09-19T16:13:32+00:00,patientdb,patients,332517
2026-09-19T16:13:32+00:00,examdb,exam_requests,6
2026-09-19T16:13:32+00:00,resultdb,exam_results,10
2026-09-19T16:13:32+00:00,authdb,auth_clients,6
2026-09-19T16:13:32+00:00,consentdb,consents,13
2026-09-19T16:13:32+00:00,auditdb,audit_anomaly,13
2026-09-19T16:13:32+00:00,auditdb,audit_log,546686
2026-09-19T16:13:32+00:00,notificationdb,notifications,11
2026-09-19T16:13:32+00:00,triagedb,triages,3
2026-09-19T16:14:55+00:00,patientdb,patients,337608
2026-09-19T16:14:55+00:00,examdb,exam_requests,6
2026-09-19T16:14:55+00:00,resultdb,exam_results,10
2026-09-19T16:14:55+00:00,authdb,auth_clients,6
2026-09-19T16:14:55+00:00,consentdb,consents,13
2026-09-19T16:14:55+00:00,auditdb,audit_anomaly,13
2026-09-19T16:14:55+00:00,auditdb,audit_log,578867
2026-09-19T16:14:55+00:00,notificationdb,notifications,11
2026-09-19T16:14:55+00:00,triagedb,triages,3
2026-09-19T16:16:13+00:00,patientdb,patients,337608
2026-09-19T16:16:13+00:00,examdb,exam_requests,6
2026-09-19T16:16:13+00:00,resultdb,exam_results,10
2026-09-19T16:16:13+00:00,authdb,auth_clients,6
2026-09-19T16:16:13+00:00,consentdb,consents,13
2026-09-19T16:16:13+00:00,auditdb,audit_anomaly,14
2026-09-19T16:16:13+00:00,auditdb,audit_log,593930
2026-09-19T16:16:13+00:00,notificationdb,notifications,11
2026-09-19T16:16:13+00:00,triagedb,triages,3
2026-09-19T16:17:33+00:00,patientdb,patients,338041
2026-09-19T16:17:33+00:00,examdb,exam_requests,6
2026-09-19T16:17:33+00:00,resultdb,exam_results,10
2026-09-19T16:17:33+00:00,authdb,auth_clients,6
2026-09-19T16:17:33+00:00,consentdb,consents,14
2026-09-19T16:17:33+00:00,auditdb,audit_anomaly,14
2026-09-19T16:17:33+00:00,auditdb,audit_log,618244
2026-09-19T16:17:33+00:00,notificationdb,notifications,11
2026-09-19T16:17:33+00:00,triagedb,triages,3
2026-09-19T16:19:02+00:00,patientdb,patients,359468
2026-09-19T16:19:02+00:00,examdb,exam_requests,6
2026-09-19T16:19:02+00:00,resultdb,exam_results,10
2026-09-19T16:19:02+00:00,authdb,auth_clients,6
2026-09-19T16:19:02+00:00,consentdb,consents,14
2026-09-19T16:19:02+00:00,auditdb,audit_anomaly,14
2026-09-19T16:19:02+00:00,auditdb,audit_log,626979
2026-09-19T16:19:02+00:00,notificationdb,notifications,11
2026-09-19T16:19:02+00:00,triagedb,triages,3
2026-09-19T16:20:44+00:00,patientdb,patients,388036
2026-09-19T16:20:44+00:00,examdb,exam_requests,6
2026-09-19T16:20:44+00:00,resultdb,exam_results,10
2026-09-19T16:20:44+00:00,authdb,auth_clients,6
2026-09-19T16:20:44+00:00,consentdb,consents,14
2026-09-19T16:20:44+00:00,auditdb,audit_anomaly,14
2026-09-19T16:20:44+00:00,auditdb,audit_log,631489
2026-09-19T16:20:44+00:00,notificationdb,notifications,11
2026-09-19T16:20:44+00:00,triagedb,triages,3
2026-09-19T16:22:26+00:00,patientdb,patients,417465
2026-09-19T16:22:26+00:00,examdb,exam_requests,6
2026-09-19T16:22:26+00:00,resultdb,exam_results,10
2026-09-19T16:22:26+00:00,authdb,auth_clients,6
2026-09-19T16:22:26+00:00,consentdb,consents,14
2026-09-19T16:22:26+00:00,auditdb,audit_anomaly,14
2026-09-19T16:22:26+00:00,auditdb,audit_log,636217
2026-09-19T16:22:26+00:00,notificationdb,notifications,11
2026-09-19T16:22:26+00:00,triagedb,triages,3
2026-09-19T16:24:12+00:00,patientdb,patients,445104
2026-09-19T16:24:12+00:00,examdb,exam_requests,6
2026-09-19T16:24:12+00:00,resultdb,exam_results,10
2026-09-19T16:24:12+00:00,authdb,auth_clients,6
2026-09-19T16:24:12+00:00,consentdb,consents,14
2026-09-19T16:24:12+00:00,auditdb,audit_anomaly,14
2026-09-19T16:24:12+00:00,auditdb,audit_log,640764
2026-09-19T16:24:12+00:00,notificationdb,notifications,11
2026-09-19T16:24:12+00:00,triagedb,triages,3
2026-09-19T16:25:52+00:00,patientdb,patients,471090
2026-09-19T16:25:52+00:00,examdb,exam_requests,6
2026-09-19T16:25:52+00:00,resultdb,exam_results,10
2026-09-19T16:25:52+00:00,authdb,auth_clients,6
2026-09-19T16:25:52+00:00,consentdb,consents,14
2026-09-19T16:25:52+00:00,auditdb,audit_anomaly,14
2026-09-19T16:25:52+00:00,auditdb,audit_log,647527
2026-09-19T16:25:52+00:00,notificationdb,notifications,11
2026-09-19T16:25:52+00:00,triagedb,triages,3
2026-09-19T16:27:12+00:00,patientdb,patients,472973
2026-09-19T16:27:12+00:00,examdb,exam_requests,6
2026-09-19T16:27:12+00:00,resultdb,exam_results,10
2026-09-19T16:27:12+00:00,authdb,auth_clients,6
2026-09-19T16:27:12+00:00,consentdb,consents,14
2026-09-19T16:27:12+00:00,auditdb,audit_anomaly,14
2026-09-19T16:27:12+00:00,auditdb,audit_log,678026
2026-09-19T16:27:12+00:00,notificationdb,notifications,11
2026-09-19T16:27:12+00:00,triagedb,triages,3
2026-09-19T16:28:31+00:00,patientdb,patients,472973
2026-09-19T16:28:31+00:00,examdb,exam_requests,6
2026-09-19T16:28:31+00:00,resultdb,exam_results,10
2026-09-19T16:28:31+00:00,authdb,auth_clients,6
2026-09-19T16:28:31+00:00,consentdb,consents,14
2026-09-19T16:28:31+00:00,auditdb,audit_anomaly,14
2026-09-19T16:28:31+00:00,auditdb,audit_log,713573
2026-09-19T16:28:31+00:00,notificationdb,notifications,11
2026-09-19T16:28:31+00:00,triagedb,triages,3
2026-09-19T16:29:52+00:00,patientdb,patients,475703
2026-09-19T16:29:52+00:00,examdb,exam_requests,6
2026-09-19T16:29:52+00:00,resultdb,exam_results,10
2026-09-19T16:29:52+00:00,authdb,auth_clients,6
2026-09-19T16:29:52+00:00,consentdb,consents,15
2026-09-19T16:29:52+00:00,auditdb,audit_anomaly,15
2026-09-19T16:29:52+00:00,auditdb,audit_log,747946
2026-09-19T16:29:52+00:00,notificationdb,notifications,11
2026-09-19T16:29:52+00:00,triagedb,triages,3
2026-09-19T16:31:32+00:00,patientdb,patients,502147
2026-09-19T16:31:32+00:00,examdb,exam_requests,6
2026-09-19T16:31:32+00:00,resultdb,exam_results,10
2026-09-19T16:31:32+00:00,authdb,auth_clients,6
2026-09-19T16:31:32+00:00,consentdb,consents,15
2026-09-19T16:31:32+00:00,auditdb,audit_anomaly,15
